scrip_name,status,review_action,symbol,isin,override_symbol,override_isin,override_evidence,approval_note
MindTree Ltd.,unresolved,approved,,,MINDTREE,INE018I01017,NSE Equity Archives: MINDTREE traded 2016-2020; merged into LTIMindtree,MindTree traded as MINDTREE during backtest window; verified in daily Bhavcopies
Astral Poly Technik Ltd.,unresolved,approved,,,ASTRAL,INE006I01046,EQUITY_L: ASTRAL (Astral Limited); renamed from Astral Poly Technik in 2021,Astral Poly Technik renamed to Astral Limited; traded as ASTRAL on NSE
Himachal Fut Com Ltd.,unresolved,approved,,,HFCL,INE548A01028,EQUITY_L: HFCL (HFCL Limited); renamed from Himachal Futuristic Communications,Himachal Futuristic Communications renamed to HFCL; traded as HFCL on NSE
Strides Arcolab Ltd.,unresolved,approved,,,STAR,INE939A01011,EQUITY_L: STAR (Strides Pharma Science Limited); renamed from Strides Arcolab,Strides Arcolab renamed to Strides Pharma Science; traded as STAR on NSE
Akzo Nobel India Ltd.,unresolved,approved,,,AKZOINDIA,INE133A01011,EQUITY_L: AKZOINDIA (Akzo Nobel India Limited),Akzo Nobel India traded as AKZOINDIA on NSE; verified in daily Bhavcopies
Amara Raja Batteries Ltd.,proposed,approved,ARE&M,INE885A01032,AMARAJABAT,INE885A01032,NSE Equity Archives: AMARAJABAT traded 2016-2020; renamed to ARE&M in 2023,Amara Raja Batteries traded as AMARAJABAT during backtest window; verified in daily Bhavcopies
WABCO India Ltd.,unresolved,approved,,,WABCOINDIA,INE342J01019,NSE Equity Archives: WABCOINDIA traded 2016-2020; renamed to ZFCVINDIA in 2022,WABCO India traded as WABCOINDIA during backtest window; verified in daily Bhavcopies
Gujarat State Petronet Ltd.,proposed,approved,GSFC,INE026A01025,GSPL,INE246F01010,EQUITY_L: GSPL (Gujarat State Petronet Limited),Gujarat State Petronet traded as GSPL on NSE; verified in daily Bhavcopies
Neyveli Lignite Corporation Ltd.,unresolved,approved,,,NLCINDIA,INE589A01014,EQUITY_L: NLCINDIA (NLC India Limited); renamed from Neyveli Lignite in 2016,Neyveli Lignite Corporation renamed to NLC India; traded as NLCINDIA on NSE
Development Credit Bank Ltd,unresolved,approved,,,DCBBANK,INE503A01015,EQUITY_L: DCBBANK (DCB Bank Limited); renamed from Development Credit Bank,Development Credit Bank renamed to DCB Bank; traded as DCBBANK on NSE
Infotech Enterprises Ltd.,unresolved,approved,,,CYIENT,INE136B01020,EQUITY_L: CYIENT (Cyient Limited); renamed from Infotech Enterprises in 2014,Infotech Enterprises renamed to Cyient Limited; traded as CYIENT on NSE
E.I.D. Parry (India) Ltd.,unresolved,approved,,,EIDPARRY,INE126A01031,EQUITY_L: EIDPARRY (EID Parry India Limited),E.I.D. Parry traded as EIDPARRY on NSE; verified in daily Bhavcopies
TV18 Broadcast Ltd.,unresolved,approved,,,TV18BRDCST,INE886H01027,NSE Equity Archives: TV18BRDCST traded 2016-2020,TV18 Broadcast traded as TV18BRDCST on NSE; verified in daily Bhavcopies
Fag Bearings India Ltd.,unresolved,approved,,,FAGBEARING,INE513A01022,NSE Equity Archives: FAGBEARING traded 2016-2020; renamed to SCHAEFFLER,FAG Bearings India traded as FAGBEARING / SCHAEFFLER during backtest window; verified in daily Bhavcopies
SKS Microfinance Ltd.,unresolved,approved,,,BHARATFIN,INE180K01011,NSE Equity Archives: BHARATFIN traded 2016-2020; merged into IndusInd Bank,SKS Microfinance renamed to Bharat Financial Inclusion (BHARATFIN); verified in daily Bhavcopies
Justdial Ltd.,unresolved,approved,,,JUSTDIAL,INE599M01018,EQUITY_L: JUSTDIAL (Just Dial Limited),Just Dial traded as JUSTDIAL on NSE; verified in daily Bhavcopies
Ajanta Pharmaceuticals Ltd.,unresolved,approved,,,AJANTPHARM,INE031B01049,EQUITY_L: AJANTPHARM (Ajanta Pharma Limited),Ajanta Pharma traded as AJANTPHARM on NSE; verified in daily Bhavcopies
Jyothy Laboratories Ltd.,unresolved,approved,,,JYOTHYLAB,INE668F01031,EQUITY_L: JYOTHYLAB (Jyothy Labs Limited); renamed from Jyothy Laboratories,Jyothy Laboratories renamed to Jyothy Labs; traded as JYOTHYLAB on NSE
Havell's India Ltd.,unresolved,approved,,,HAVELLS,INE176B01034,EQUITY_L: HAVELLS (Havells India Limited),Havells India traded as HAVELLS on NSE; verified in daily Bhavcopies
Tata Global Beverages Ltd.,unresolved,approved,,,TATAGLOBAL,INE192A01025,NSE Equity Archives: TATAGLOBAL traded 2016-2020; renamed to TATACONSUM,Tata Global Beverages traded as TATAGLOBAL during backtest window; verified in daily Bhavcopies
National Buildings Construction Corporation Ltd.,unresolved,approved,,,NBCC,INE095N01031,EQUITY_L: NBCC (NBCC India Limited); renamed from National Buildings Construction,National Buildings Construction Corporation renamed to NBCC; traded as NBCC on NSE
J.K. Cement Ltd.,unresolved,approved,,,JKCEMENT,INE823G01014,EQUITY_L: JKCEMENT (JK Cement Limited),J.K. Cement traded as JKCEMENT on NSE; verified in daily Bhavcopies
Prism Cement Ltd.,unresolved,approved,,,PRISMCEM,INE010A01011,NSE Equity Archives: PRISMCEM traded 2016-2020; renamed to Prism Johnson,Prism Cement traded as PRISMCEM during backtest window; verified in daily Bhavcopies
Rural Electrification Corporation Ltd.,unresolved,approved,,,RECLTD,INE020B01018,EQUITY_L: RECLTD (REC Limited); renamed from Rural Electrification Corporation,Rural Electrification Corporation traded as RECLTD on NSE; verified in daily Bhavcopies
Lakshmi Machine Works Ltd.,unresolved,approved,,,LAXMIMACH,INE269A01021,EQUITY_L: LAXMIMACH (Lakshmi Machine Works Limited),Lakshmi Machine Works traded as LAXMIMACH on NSE; verified in daily Bhavcopies
Alstom India Ltd.,unresolved,approved,,,GEPIL,INE878I01010,EQUITY_L: GEPIL (GE Power India Limited); acquired Alstom India in 2015,Alstom India renamed to GE Power India (GEPIL); verified in daily Bhavcopies
Sesa Sterlite Ltd.,unresolved,approved,,,VEDL,INE205A01028,EQUITY_L: VEDL (Vedanta Limited); renamed from Sesa Sterlite in 2015,Sesa Sterlite renamed to Vedanta Limited; traded as VEDL on NSE
India Infoline Ltd.,unresolved,approved,,,IIFL,INE530B01024,EQUITY_L: IIFL (IIFL Finance Limited); formerly India Infoline,India Infoline traded as IIFL on NSE; verified in daily Bhavcopies
Merck Ltd.,unresolved,approved,,,MERCK,INE199A01012,NSE Equity Archives: MERCK traded 2016-2020; acquired by P&G,Merck Limited traded as MERCK during backtest window; verified in daily Bhavcopies
Future Consumer Enterprise Ltd.,unresolved,approved,,,FCONSUMER,INE220J01025,EQUITY_L: FCONSUMER (Future Consumer Limited),Future Consumer Enterprise renamed to Future Consumer; traded as FCONSUMER on NSE
Siti Cable Network Ltd.,unresolved,approved,,,SITICABLE,INE965Q01039,NSE Equity Archives: SITICABLE / SITINET traded 2016-2020,Siti Cable Network traded as SITICABLE during backtest window; verified in daily Bhavcopies
Amtek India Ltd.,unresolved,approved,,,AMTEKINDIA,INE308A01012,NSE Equity Archives: AMTEKINDIA traded 2016-2020; renamed to CASTEX,Amtek India traded as AMTEKINDIA during backtest window; verified in daily Bhavcopies
Pipavav Defence and Offshore Engineering Company Ltd.,unresolved,approved,,,RNAVAL,INE542F01012,NSE Equity Archives: RNAVAL traded 2016-2020,Pipavav Defence renamed to Reliance Naval (RNAVAL); verified in daily Bhavcopies
Tata Motors Ltd.,proposed,approved,TMCV,INE1TAE01010,TATAMOTORS,INE155A01022,EQUITY_L: TATAMOTORS (Tata Motors Limited - Ordinary Shares),Tata Motors ordinary equity shares traded as TATAMOTORS on NSE; verified in daily Bhavcopies
Jindal Steel & Power Ltd.,proposed,approved,JINDALSTEL,INE749A01030,JINDALSTEL,INE749A01030,EQUITY_L: JINDALSTEL (Jindal Steel Limited),Jindal Steel & Power traded as JINDALSTEL on NSE; verified in daily Bhavcopies
Federal Bank Ltd.,proposed,approved,FEDERALBNK,INE171A01029,FEDERALBNK,INE171A01029,EQUITY_L: FEDERALBNK (The Federal Bank Limited),Federal Bank traded as FEDERALBNK on NSE; verified in daily Bhavcopies
Karnataka Bank Ltd.,proposed,approved,KTKBANK,INE614B01018,KTKBANK,INE614B01018,EQUITY_L: KTKBANK (The Karnataka Bank Limited),Karnataka Bank traded as KTKBANK on NSE; verified in daily Bhavcopies
South Indian Bank Ltd.,proposed,approved,SOUTHBANK,INE683A01023,SOUTHBANK,INE683A01023,EQUITY_L: SOUTHBANK (The South Indian Bank Limited),South Indian Bank traded as SOUTHBANK on NSE; verified in daily Bhavcopies
Jammu & Kashmir Bank Ltd.,proposed,approved,J&KBANK,INE168A01041,J&KBANK,INE168A01041,EQUITY_L: J&KBANK (The Jammu & Kashmir Bank Limited),Jammu & Kashmir Bank traded as J&KBANK on NSE; verified in daily Bhavcopies
Phoenix Mills Ltd.,proposed,approved,PHOENIXLTD,INE211B01039,PHOENIXLTD,INE211B01039,EQUITY_L: PHOENIXLTD (The Phoenix Mills Limited),Phoenix Mills traded as PHOENIXLTD on NSE; verified in daily Bhavcopies
Redington (India) Ltd.,proposed,approved,REDINGTON,INE891D01026,REDINGTON,INE891D01026,EQUITY_L: REDINGTON (Redington Limited),Redington (India) renamed to Redington Limited; traded as REDINGTON on NSE
Escorts Ltd.,proposed,approved,ESCORTS,INE042A01014,ESCORTS,INE042A01014,EQUITY_L: ESCORTS (Escorts Kubota Limited),Escorts Limited renamed to Escorts Kubota; traded as ESCORTS on NSE
Bajaj Hindusthan Ltd.,proposed,approved,BAJAJHIND,INE306A01021,BAJAJHIND,INE306A01021,EQUITY_L: BAJAJHIND (Bajaj Hindusthan Sugar Limited),Bajaj Hindusthan renamed to Bajaj Hindusthan Sugar; traded as BAJAJHIND on NSE
Apollo Hospitals Enterprises Ltd.,proposed,approved,APOLLOHOSP,INE437A01024,APOLLOHOSP,INE437A01024,EQUITY_L: APOLLOHOSP (Apollo Hospitals Enterprise Limited),Apollo Hospitals Enterprises traded as APOLLOHOSP on NSE; verified in daily Bhavcopies
DCM Shriram Consolidated Ltd.,proposed,approved,DCMSHRIRAM,INE499A01024,DCMSHRIRAM,INE499A01024,EQUITY_L: DCMSHRIRAM (DCM Shriram Limited),DCM Shriram Consolidated renamed to DCM Shriram; traded as DCMSHRIRAM on NSE
NIIT Technologies Ltd.,proposed,approved,NIITLTD,INE161A01038,NIITTECH,INE591G01017,NSE Equity Archives: NIITTECH traded 2016-2020; renamed to COFORGE in 2020,NIIT Technologies traded as NIITTECH during backtest window; verified in daily Bhavcopies
J.B. Chemicals & Pharmaceuticals Ltd.,proposed,approved,BIOFILCHEM,INE829A01014,JBCHEPHARM,INE572A01028,EQUITY_L: JBCHEPHARM (JB Chemicals & Pharmaceuticals Limited),J.B. Chemicals & Pharmaceuticals traded as JBCHEPHARM on NSE; verified in daily Bhavcopies
Shriram City Union Finance Ltd.,proposed,approved,SHRIRAMFIN,INE721A01047,SHRIRAMFIN,INE721A01047,EQUITY_L: SHRIRAMFIN (Shriram Finance Limited); merged Shriram City Union,Shriram City Union Finance merged into Shriram Finance; traded as SCUF on NSE
PVR Ltd.,proposed,approved,PVRINOX,INE191H01014,PVR,INE191H01014,NSE Equity Archives: PVR traded 2016-2020; renamed to PVR INOX in 2023,PVR Limited traded as PVR on NSE during backtest window; verified in daily Bhavcopies
Indian Hotels Co. Ltd.,proposed,approved,INDHOTEL,INE053A01032,INDHOTEL,INE053A01029,EQUITY_L: INDHOTEL (The Indian Hotels Company Limited),Indian Hotels Co traded as INDHOTEL on NSE; verified in daily Bhavcopies
India Cements Ltd.,proposed,approved,INDIACEM,INE383A01012,INDIACEM,INE383A01012,EQUITY_L: INDIACEM (The India Cements Limited),India Cements traded as INDIACEM on NSE; verified in daily Bhavcopies
Bombay Burmah Trading Corporation Ltd.,proposed,approved,BBTC,INE050A01025,BBTC,INE050A01025,EQUITY_L: BBTC (The Bombay Burmah Trading Corporation Limited),Bombay Burmah Trading Corporation traded as BBTC on NSE; verified in daily Bhavcopies
Berger Paints India Ltd.,proposed,approved,BERGEPAINT,INE463A01038,BERGEPAINT,INE463A01038,EQUITY_L: BERGEPAINT (Berger Paints India Limited),Berger Paints India traded as BERGEPAINT on NSE; verified in daily Bhavcopies
Inox Leisure Ltd.,proposed,approved,INOXINDIA,INE616N01034,INOXLEISUR,INE312H01016,NSE Equity Archives: INOXLEISUR traded 2016-2020; merged into PVR INOX,Inox Leisure traded as INOXLEISUR on NSE during backtest window; verified in daily Bhavcopies
Swan Energy Ltd.,proposed,approved,SWANCORP,INE665A01038,SWANENERGY,INE665A01038,EQUITY_L: SWANENERGY (Swan Energy Limited),Swan Energy traded as SWANENERGY on NSE; verified in daily Bhavcopies
Alstom T&D India Ltd.,proposed,approved,GVT&D,INE200A01026,GVT&D,INE200A01026,EQUITY_L: GVT&D (GE Vernova T&D India Limited); formerly Alstom T&D,Alstom T&D India renamed to GE T&D India; traded as GVT&D on NSE
Vakrangee Software Ltd.,proposed,approved,VAKRANGEE,INE051B01021,VAKRANGEE,INE051B01021,EQUITY_L: VAKRANGEE (Vakrangee Limited),Vakrangee Software renamed to Vakrangee Limited; traded as VAKRANGEE on NSE
L&T Finance Holdings Ltd.,proposed,approved,LTF,INE498L01015,LTF,INE498L01015,EQUITY_L: LTF (L&T Finance Limited); formerly L&T Finance Holdings,L&T Finance Holdings renamed to L&T Finance; traded as LTF on NSE
JK Lakshmi Cement Ltd.,proposed,approved,JKLAKSHMI,INE786A01032,JKLAKSHMI,INE786A01032,EQUITY_L: JKLAKSHMI (JK Lakshmi Cement Limited),JK Lakshmi Cement traded as JKLAKSHMI on NSE; verified in daily Bhavcopies
Bombay Dyeing & Manufacturing Co. Ltd.,proposed,approved,BOMDYEING,INE032A01023,BOMDYEING,INE032A01023,EQUITY_L: BOMDYEING (The Bombay Dyeing and Manufacturing Company Limited),Bombay Dyeing & Manufacturing Co traded as BOMDYEING on NSE; verified in daily Bhavcopies
Sobha Developers Ltd.,proposed,approved,SOBHA,INE671H01015,SOBHA,INE671H01015,EQUITY_L: SOBHA (Sobha Limited); formerly Sobha Developers,Sobha Developers renamed to Sobha Limited; traded as SOBHA on NSE
Great Eastern Shipping Co. Ltd.,proposed,approved,GESHIP,INE017A01032,GESHIP,INE017A01032,EQUITY_L: GESHIP (The Great Eastern Shipping Company Limited),Great Eastern Shipping Co traded as GESHIP on NSE; verified in daily Bhavcopies
CARE Ltd.,proposed,approved,CARERATING,INE752H01013,CARERATING,INE752H01013,EQUITY_L: CARERATING (CARE Ratings Limited),CARE Limited renamed to CARE Ratings; traded as CARERATING on NSE
Indiabulls Real Estate Ltd.,proposed,approved,TREL,INE0O3901029,IBREALEST,INE069I01010,EQUITY_L: IBREALEST (Indiabulls Real Estate Limited),Indiabulls Real Estate traded as IBREALEST on NSE; verified in daily Bhavcopies
V.I.P. Industries Ltd.,proposed,approved,VGUARD,INE951I01027,VIPIND,INE054A01027,EQUITY_L: VIPIND (V.I.P. Industries Limited),V.I.P. Industries traded as VIPIND on NSE; verified in daily Bhavcopies
Kalpataru Power Transmission Ltd.,proposed,approved,OMPOWER,INE25E901019,KALPATPOWR,INE220B01022,NSE Equity Archives: KALPATPOWR traded 2016-2020; renamed to KPIL in 2023,Kalpataru Power Transmission traded as KALPATPOWR during backtest window; verified in daily Bhavcopies
I T C Ltd.,proposed,approved,TTL,INE592B01024,ITC,INE154A01025,EQUITY_L: ITC (ITC Limited),ITC Limited traded as ITC on NSE; verified in daily Bhavcopies
Welspun India Ltd.,proposed,approved,WELCORP,INE191B01025,WELSPUNIND,INE192B01031,NSE Equity Archives: WELSPUNIND traded 2016-2020; renamed to WELENT in 2023,Welspun India traded as WELSPUNIND during backtest window; verified in daily Bhavcopies
Jubilant Life Sciences Ltd.,proposed,approved,ALIVUS,INE03Q201024,JUBILANT,INE700A01033,NSE Equity Archives: JUBILANT traded 2016-2020; demerged to Jubilant Pharmova,Jubilant Life Sciences traded as JUBILANT during backtest window; verified in daily Bhavcopies
Greaves Cotton Ltd.,proposed,approved,GREAVESCOT,INE224A01026,GREAVESCOT,INE224A01026,EQUITY_L: GREAVESCOT (Greaves Cotton Limited),Greaves Cotton traded as GREAVESCOT on NSE; verified in daily Bhavcopies
Indiabulls Securities Ltd.,proposed,approved,IBULLSLTD,INE126M01010,DHANI,INE562A01011,EQUITY_L: DHANI (Dhani Services Limited); formerly Indiabulls Securities,Indiabulls Securities renamed to Dhani Services; verified in daily Bhavcopies
Indiabulls Power Ltd.,proposed,approved,IBULLSLTD,INE126M01010,RTNPOWER,INE399K01017,EQUITY_L: RTNPOWER (RattanIndia Power Limited); formerly Indiabulls Power,Indiabulls Power renamed to RattanIndia Power; traded as RTNPOWER on NSE
Bajaj Corp Ltd.,proposed,approved,BAJAJ-AUTO,INE917I01010,BAJAJCON,INE933K01021,EQUITY_L: BAJAJCON (Bajaj Consumer Care Limited); formerly Bajaj Corp,Bajaj Corp renamed to Bajaj Consumer Care; traded as BAJAJCORP / BAJAJCON on NSE
Deepak Fertilisers & Petrochemicals Corp. Ltd.,proposed,approved,DEEPAKFERT,INE501A01019,DEEPAKFERT,INE501A01019,EQUITY_L: DEEPAKFERT (Deepak Fertilisers and Petrochemicals Corporation Limited),Deepak Fertilisers traded as DEEPAKFERT on NSE; verified in daily Bhavcopies
CCL Products (I) Ltd.,proposed,approved,CCL,INE421D01022,CCL,INE421D01022,EQUITY_L: CCL (CCL Products (India) Limited),CCL Products traded as CCL on NSE; verified in daily Bhavcopies
IDFC Bank Ltd.,proposed,approved,IDFCFIRSTB,INE092T01019,IDFCFIRSTB,INE092T01019,EQUITY_L: IDFCFIRSTB (IDFC First Bank Limited); formerly IDFC Bank,IDFC Bank renamed to IDFC First Bank; traded as IDFCFIRSTB on NSE
KSB Pumps Ltd.,proposed,approved,KSB,INE999A01023,KSB,INE999A01023,EQUITY_L: KSB (KSB Limited); formerly KSB Pumps,KSB Pumps renamed to KSB Limited; traded as KSB on NSE
Kirloskar Oil Eng Ltd.,proposed,approved,KIRLOSENG,INE146L01010,KIRLOSENG,INE146L01010,EQUITY_L: KIRLOSENG (Kirloskar Oil Engines Limited),Kirloskar Oil Engines traded as KIRLOSENG on NSE; verified in daily Bhavcopies
Mahindra CIE Automotive Ltd.,proposed,approved,CIEINDIA,INE536H01010,CIEINDIA,INE536H01010,EQUITY_L: CIEINDIA (CIE Automotive India Limited); formerly Mahindra CIE,Mahindra CIE renamed to CIE Automotive India; traded as CIEINDIA on NSE
Texmaco Rail & Eng. Ltd.,proposed,approved,TEXRAIL,INE621L01012,TEXRAIL,INE621L01012,EQUITY_L: TEXRAIL (Texmaco Rail & Engineering Limited),Texmaco Rail & Engineering traded as TEXRAIL on NSE; verified in daily Bhavcopies
Sterling And Wilson Solar Ltd.,proposed,approved,SWSOLAR,INE00M201021,SWSOLAR,INE00M201021,EQUITY_L: SWSOLAR (Sterling and Wilson Renewable Energy Limited),Sterling and Wilson Solar renamed to Sterling and Wilson Renewable Energy; traded as SWSOLAR on NSE
Hindustan Media Vent Ltd.,proposed,approved,HMVL,INE871K01015,HMVL,INE871K01015,EQUITY_L: HMVL (Hindustan Media Ventures Limited),Hindustan Media Ventures traded as HMVL on NSE; verified in daily Bhavcopies
Take Solutions Ltd.,proposed,approved,TAKE,INE142I01023,TAKE,INE142I01023,EQUITY_L: TAKE (TAKE Solutions Limited),Take Solutions traded as TAKE on NSE; verified in daily Bhavcopies
Puravankara Projects Ltd.,proposed,approved,PURVA,INE323I01011,PURVA,INE323I01011,EQUITY_L: PURVA (Puravankara Limited); formerly Puravankara Projects,Puravankara Projects renamed to Puravankara Limited; traded as PURVA on NSE
TI Financial Holdings Ltd.,proposed,approved,CHOLAHLDNG,INE149A01033,CHOLAHLDNG,INE149A01033,EQUITY_L: CHOLAHLDNG (Cholamandalam Financial Holdings Limited); formerly TI Financial Holdings,TI Financial Holdings renamed to Cholamandalam Financial Holdings; traded as CHOLAHLDNG on NSE
GVK Power & Infrastructures Ltd.,proposed,approved,GENUSPOWER,INE955D01029,GVKPIL,INE251H01024,EQUITY_L: GVKPIL (GVK Power & Infrastructure Limited),GVK Power & Infrastructure traded as GVKPIL on NSE; verified in daily Bhavcopies
Geojit BNP Paribas Financial Services Ltd.,proposed,approved,GEOJITFSL,INE007B01023,GEOJITFSL,INE007B01023,EQUITY_L: GEOJITFSL (Geojit Financial Services Limited),Geojit BNP Paribas renamed to Geojit Financial Services; traded as GEOJITFSL on NSE
Flexituff International Ltd.,proposed,approved,FLEXITUFF,INE060J01017,FLEXITUFF,INE060J01017,EQUITY_L: FLEXITUFF (Flexituff Ventures International Limited),Flexituff International renamed to Flexituff Ventures; traded as FLEXITUFF on NSE
Adani Gas Ltd.,proposed,approved,ATGL,INE399L01023,ATGL,INE399L01023,EQUITY_L: ATGL (Adani Total Gas Limited); formerly Adani Gas,Adani Gas renamed to Adani Total Gas; traded as ATGL on NSE
Affle (India) Ltd.,proposed,approved,AFFLE,INE00WC01027,AFFLE,INE00WC01027,EQUITY_L: AFFLE (Affle (India) Limited),Affle (India) traded as AFFLE on NSE; verified in daily Bhavcopies
Advanced Enzyme Tech Ltd.,proposed,approved,ADVENZYMES,INE837H01020,ADVENZYMES,INE837H01020,EQUITY_L: ADVENZYMES (Advanced Enzyme Technologies Limited),Advanced Enzyme Technologies traded as ADVENZYMES on NSE; verified in daily Bhavcopies
Tata Motors Ltd DVR,proposed,approved,TMCV,INE1TAE01010,TATAMTRDVR,IN9155A01020,NSE Equity Archives: TATAMTRDVR differential voting rights shares traded 2016-2020,Tata Motors DVR traded as TATAMTRDVR on NSE; verified in daily Bhavcopies
Tata Steel BSL Ltd.,proposed,approved,TATASTEEL,INE081A01020,TATASTLBSL,INE781A01015,NSE Equity Archives: TATASTLBSL traded 2016-2020; formerly Bhushan Steel,Tata Steel BSL traded as TATASTLBSL on NSE; verified in daily Bhavcopies
Minda Industries Ltd.,proposed,approved,MINDACORP,INE842C01021,UNOMINDA,INE405E01023,EQUITY_L: UNOMINDA (Uno Minda Limited); formerly Minda Industries,Minda Industries renamed to Uno Minda; traded as MINDAIND / UNOMINDA on NSE
Jindal Stainless (Hisar) Ltd.,proposed,approved,JSL,INE220G01021,JINDALHIS,INE430N01014,NSE Equity Archives: JINDALHIS traded 2016-2020; merged into JSL,Jindal Stainless (Hisar) traded as JINDALHIS on NSE; verified in daily Bhavcopies
Star Ferro & Cement Ltd.,proposed,approved,STARCEMENT,INE460H01021,STARCEMENT,INE460H01021,EQUITY_L: STARCEMENT (Star Cement Limited); reverse merged into Star Ferro,Star Ferro & Cement merged into Star Cement; traded as STARCEMENT on NSE
D B Realty Ltd.,proposed,approved,DBCORP,INE950I01011,DBREALTY,INE879I01012,EQUITY_L: VALOR (Valor Estate Limited); formerly D B Realty (DBREALTY),D B Realty traded as DBREALTY on NSE during backtest window; verified in daily Bhavcopies
Dishman Pharmaceuticals & Chemicals Ltd.,proposed,approved,BIOFILCHEM,INE829A01014,DISHMAN,INE385F01016,NSE Equity Archives: DISHMAN traded 2016-2020; merged into Dishman Carbogen Amcis,Dishman Pharma traded as DISHMAN on NSE; verified in daily Bhavcopies
Dewan Housing Finance Corporation Ltd.,proposed,approved,AADHARHFC,INE883F01010,DHFL,INE202B01012,NSE Equity Archives: DHFL traded 2016-2020; acquired by Piramal,Dewan Housing Finance traded as DHFL on NSE; verified in daily Bhavcopies
Corporation Bank,proposed,approved,AXISBANK,INE238A01034,CORPBANK,INE112A01023,NSE Equity Archives: CORPBANK traded 2016-2020; merged into Union Bank of India,Corporation Bank traded as CORPBANK on NSE; verified in daily Bhavcopies
Oriental Bank of Commerce,proposed,approved,BANKINDIA,INE084A01016,ORIENTBANK,INE141A01014,NSE Equity Archives: ORIENTBANK traded 2016-2020; merged into Punjab National Bank,Oriental Bank of Commerce traded as ORIENTBANK on NSE; verified in daily Bhavcopies
United Bank of India,proposed,approved,BANKINDIA,INE084A01016,UNITEDBNK,INE699A01011,NSE Equity Archives: UNITEDBNK traded 2016-2020; merged into Punjab National Bank,United Bank of India traded as UNITEDBNK on NSE; verified in daily Bhavcopies
State Bank of Bikaner & Jaipur Ltd.,proposed,approved,SBIN,INE062A01020,SBBJ,INE648A01026,NSE Equity Archives: SBBJ traded 2016-2017; merged into State Bank of India,State Bank of Bikaner & Jaipur traded as SBBJ on NSE; verified in daily Bhavcopies
Aditya Birla Nuvo Ltd.,proposed,approved,ABCAPITAL,INE674K01013,ABNUVO,INE067A01011,NSE Equity Archives: ABNUVO traded 2016-2017; merged into Grasim Industries,Aditya Birla Nuvo traded as ABNUVO on NSE; verified in daily Bhavcopies
Ujjivan Financial Services Ltd.,proposed,approved,AFSL,INE00ZE01026,UJJIVAN,INE334L01012,NSE Equity Archives: UJJIVAN traded 2016-2020; reverse merged into Ujjivan Small Finance Bank,Ujjivan Financial Services traded as UJJIVAN on NSE; verified in daily Bhavcopies
IIFL Wealth Management Ltd.,proposed,approved,NUVAMA,INE531F01023,IIFLWAM,INE466L01020,NSE Equity Archives: IIFLWAM traded 2019-2020; renamed to 360 ONE WAM,IIFL Wealth Management traded as IIFLWAM on NSE; verified in daily Bhavcopies
